epoch,loss,acc
54,1.5290,95.3125
54,1.5509,93.7500
54,1.5432,93.4896
54,1.5619,92.9688
54,1.5604,92.7973
55,1.5566,92.1875
55,1.5520,92.5781
55,1.5454,92.4479
55,1.5334,92.9688
55,1.5555,92.7973
56,1.5310,94.5312
56,1.5513,93.7500
56,1.5778,92.4479
56,1.5559,92.3828
56,1.5120,93.1323
57,1.5258,95.3125
57,1.5576,93.7500
57,1.5576,92.9688
57,1.5408,93.3594
57,1.5547,93.1323
58,1.5364,94.5312
58,1.5262,94.9219
58,1.5736,93.2292
58,1.5465,93.1641
58,1.5644,92.7973
59,1.5317,94.5312
59,1.5762,92.1875
59,1.5414,92.7083
59,1.5590,92.7734
59,1.5238,93.1323
60,1.5451,92.9688
60,1.5365,93.7500
60,1.5442,93.7500
60,1.5510,93.3594
60,1.5627,93.1323
61,1.5529,92.1875
61,1.5945,90.6250
61,1.5161,92.4479
61,1.5413,92.7734
61,1.5292,92.9648
62,1.5391,92.9688
62,1.5325,93.3594
62,1.5372,94.0104
62,1.5901,92.5781
62,1.5403,92.7973
63,1.5313,95.3125
63,1.5511,93.7500
63,1.5661,93.2292
63,1.5309,93.3594
63,1.5674,92.9648
64,1.5369,93.7500
64,1.5333,94.1406
64,1.5318,94.2708
64,1.5830,92.9688
64,1.5529,92.9648
65,1.5554,92.1875
65,1.5508,92.5781
65,1.5405,92.9688
65,1.5297,93.3594
65,1.5656,93.1323
66,1.5565,91.4062
66,1.5407,92.1875
66,1.5328,92.9688
66,1.5409,93.1641
66,1.5744,92.9648
67,1.5318,95.3125
67,1.5536,93.7500
67,1.5728,92.7083
67,1.5244,93.1641
67,1.5511,93.1323
68,1.5319,95.3125
68,1.5262,95.3125
68,1.5443,94.7917
68,1.5758,93.5547
68,1.5745,92.9648
69,1.5736,90.6250
69,1.5532,91.4062
69,1.5585,91.6667
69,1.5258,92.5781
69,1.5165,93.1323
70,1.5983,86.7188
70,1.5439,90.2344
70,1.5208,91.9271
70,1.5390,92.5781
70,1.5256,92.9648
71,1.5224,95.3125
71,1.5477,94.1406
71,1.5324,94.2708
71,1.5600,93.7500
71,1.5866,93.1323
72,1.5419,92.9688
72,1.5419,93.3594
72,1.5575,92.9688
72,1.5509,92.7734
72,1.5333,93.1323
73,1.5436,93.7500
73,1.5295,94.1406
73,1.5579,93.2292
73,1.5732,92.5781
73,1.5240,93.1323
74,1.5656,91.4062
74,1.5406,92.5781
74,1.5675,91.9271
74,1.5223,92.7734
74,1.5327,93.1323
75,1.5260,95.3125
75,1.5640,93.3594
75,1.5423,93.4896
75,1.5326,93.7500
75,1.5774,93.1323
76,1.5809,89.8438
76,1.5483,91.0156
76,1.5242,92.4479
76,1.5383,92.7734
76,1.5347,92.9648
77,1.5269,94.5312
77,1.5319,94.5312
77,1.5622,93.4896
77,1.5717,92.7734
77,1.5318,93.1323
78,1.5328,94.5312
78,1.5319,94.5312
78,1.5436,94.2708
78,1.5767,93.1641
78,1.5472,93.1323
79,1.5126,96.0938
79,1.5856,92.5781
79,1.5793,91.6667
79,1.5226,92.7734
79,1.5236,93.1323
80,1.5276,95.3125
80,1.5269,94.9219
80,1.5640,94.0104
80,1.5520,93.5547
80,1.5764,93.1323
81,1.5301,95.3125
81,1.5540,93.7500
81,1.5781,92.4479
81,1.5355,92.7734
81,1.5229,93.1323
82,1.5296,94.5312
82,1.5667,92.9688
82,1.5801,91.9271
82,1.5372,92.3828
82,1.5054,93.1323
83,1.5780,89.8438
83,1.5236,92.5781
83,1.5189,93.4896
83,1.5552,93.3594
83,1.5677,93.1323
84,1.5475,93.7500
84,1.5679,92.1875
84,1.5379,92.7083
84,1.5257,93.3594
84,1.5549,93.1323
85,1.5256,95.3125
85,1.5744,92.9688
85,1.5258,94.0104
85,1.5584,93.3594
